region,stage,phase,match_id,match_date,team,Damage Dealt,Damage Mitigated/Eliminations,Environmental Kills/10m,Damage as percent of total output,Time Played,Solo Kills/Deaths Ratio,Healing Done/Eliminations,Environmental Kills,Damage Mitigated/Deaths,Damage Mitigated as percent of total output,Healing Done as percent of total output,Objective Time,Damage Dealt/(Eliminations + Assists),Damage Mitigated/(Eliminations + Assists),Damage Dealt/Eliminations,Damage Dealt/10m,Final Blows/(Eliminations + Assists),Multi Kills/10m,K/D Ratio,Solo Kills/Damage Dealt Ratio,Solo Kills/10m,Damage Mitigated,Final Blows/Eliminations,Deaths/10m,Solo Kills/(Eliminations + Assists) Ratio,Eliminations/10m,Solo Kills/Eliminations Ratio,Healing Done/Deaths,Objective Time/10m,Solo Kills,Assists/10m,Assists,Healing Done,Multi Kills,Deaths,Healing Done/(Eliminations + Assists),Final Blows,(Eliminations + Assists)/Deaths,Damage Mitigated/10m,Eliminations,Solo Kills/Final Blows Ratio,Final Blows/10m,Healing Done/10m,Role,Result
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D2_M1,2025-09-14T17:58:45,Vision Esports,176550,2329.0,0.79,1262,14875.0,3.51,7657.62,1.0,12910.64,245,494,1352.0,6667.5,1715.33,9501.75,143681.56,5.57,4.6000000000000005,89.48,0,10.7,52330,7.3100000000000005,93.84,0.38,330.32,0.48000000000000004,21113.239999999998,1070.9099999999999,15.0,147.74,187,89836,6.0,114,3075.6099999999997,163.0,130.2,42845.26,421,1.07,127.75,73779.94,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D2_M2,2025-09-14T19:34:15,GenG,123784,2807.19,6.930000000000001,1115,11685.0,4.97,9041.31,4.0,17972.52,331,554,954.0,5523.46,2035.3400000000001,8288.96,134761.19,5.42,5.1899999999999995,138.51,0,12.65,47116,7.35,81.38,0.44,386.3,0.53,26808.3,951.22,13.0,232.18,195,73124,3.0,86,2893.76,132.0,229.27,49577.36,340,1.9000000000000001,142.99,79669.42,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W2_D2_M2,2025-09-14T19:34:15,Quick Esports,125231,8084.13,1.73,1197,11685.0,2.7800000000000002,14499.2,1.0,10724.14,346,457,941.0,12331.15,6770.72,17184.170000000002,130290.31,6.36,0.0,38.29,0,11.5,62423,8.01,151.63,0.84,182.02,1.0,9707.39,953.04,12.0,65.84,65,51192,0.0,137,4449.32,85.0,50.11,72934.93,189,2.0100000000000002,79.64,56640.58,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D1_M1,2025-09-20T17:46:04,GenG,112944,4299.26,0.0,780,11490.0,0.52,8984.46,0.0,7440.29,300,420,1599.0,6500.07,2903.5099999999998,9387.35,88000.52,4.09,2.88,24.98,0,3.83,56345,5.79,91.28,0.32,144.18,0.45,11276.84,1308.35,5.0,92.3,119,71491,3.0,116,3090.5699999999997,73.0,43.05,44114.53999999999,185,0.9,56.57,56656.91,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D1_M1,2025-09-20T17:46:04,Team Peps,133531,1719.06,0.0,976,11490.0,2.6799999999999997,4183.65,0.0,9451.2,184,340,1069.0,5266.5,1308.94,6958.42,104599.37,4.51,5.359999999999999,78.03,0,9.98,35606,5.56,56.58,0.54,232.04,0.66,16296.81,827.87,14.0,85.78,109,65381,7.0,73,2326.05,113.0,104.98,27874.81,292,1.77,89.12,50961.91,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D1_M2,2025-09-20T19:00:50,Al qadsiah,111418,2451.2400000000002,2.17,750,9675.0,1.33,4500.8099999999995,2.0,22621.7,299,451,1095.0,3338.3,1614.06,4749.69,104902.55,3.33,4.5,127.54,0,4.2,62532,4.87,54.26,0.16,325.71999999999997,0.2,21110.1,856.07,6.0,185.66,192,72995,5.0,66,1960.3700000000001,110.0,193.34,57729.55,333,0.67,105.63,68244.94,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D1_M2,2025-09-20T19:00:50,Virtuspro,123481,6080.0599999999995,0.0,938,9675.0,1.4500000000000002,10501.86,0.0,5444.880000000001,231,331,999.0,9486.13,3384.5800000000004,16716.17,110333.0,4.3100000000000005,1.24,21.38,0,8.08,49640,5.27,107.82,0.5900000000000001,133.73999999999998,0.6900000000000001,8226.57,770.25,10.0,58.03,61,49458,2.0,112,3724.99,65.0,30.99,42804.729999999996,162,1.56,53.669999999999995,46742.0,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D2_M1,2025-09-21T17:33:31,Goud Guys,100055,818.68,1.5,992,9520.0,3.49,3163.89,1.0,6746.63,113,395,794.0,4077.04,667.34,5132.2300000000005,95424.37,4.54,2.79,89.58,0,13.11,20003,5.26,63.93,0.6,281.48,0.68,13964.54,738.88,14.0,98.28,98,51796,3.0,70,1724.81,111.0,114.28,17556.69,287,2.66,107.49,47502.57,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D2_M1,2025-09-21T17:33:31,Quick Esports,98851,3000.17,0.0,950,9520.0,1.98,7817.84,0.0,3782.5499999999997,194,357,775.0,8106.5,2859.98,12088.64,90432.65,5.41,0.0,21.39,0,11.49,32304,6.47,110.48,0.8,136.14,1.17,5030.04,695.86,13.0,42.57,45,41282,0.0,113,3539.99,70.0,27.02,32350.449999999997,150,2.75,63.94,38780.270000000004,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,0
EMEA,S3,Round Robin,EMEA_S3_RR_W3_D2_M2,2025-09-21T19:06:53,Twisted Minds,130735,2224.98,0.0,878,10305.0,2.71,5637.44,0.0,17984.59,213,410,1124.0,4688.28,1506.48,6269.02,120702.5,4.05,2.4899999999999998,125.57,0,7.75,52185,5.2,40.3,0.29,303.36,0.37,32341.489999999998,833.51,8.0,133.15,139,83703,3.0,55,2495.2599999999998,115.0,184.05,42719.69,309,0.8200000000000001,109.42,74854.58,DamageDamageTankSupportSupportDamageDamageTankSupportSupportDamageDamageTankSupportSupport,1
